X,Y,Moran's I
337,85,17.220508709281997
413,44,0.21508352622209176
78,194,-2.7874819378560804
190,288,4.488559373084492
433,406,-12.059008161659625
30,297,0.7473393505579772
473,336,12.6779570054198
121,78,2.91519425887726
557,326,-19.70930923077763
350,210,2.592160751785165
11,201,7.141520138927024
567,295,-19.379481584354206
255,428,2.0732898502025057
294,378,-0.21573923516195626
39,287,1.1957515451805132
298,295,10.018610723770523
316,233,2.1020410405522996
60,115,62.97374754060098
384,254,-5.358625318517493
188,425,-2.262096815347885
206,145,3.1917265212551706
590,402,-0.3194347452669999
123,427,-1.076677456221555
78,207,6.887940962004447
526,201,25.773067687242126
280,385,3.6930133577947433
36,145,0.3804837132544954
180,189,10.465787075177676
533,82,-10.93749918020961
448,426,2.4399243684147223
138,380,0.4390394536632156
73,136,5.274694355420087
44,227,5.277263205670227
363,348,8.611323130461598
261,211,12.258970811207856
555,447,-34.194652064871256
418,75,-2.602093280225204
108,310,-1.887558130304714
452,315,0.930665743267028
443,426,-0.02485634969513695
383,369,58.938315929229816
380,253,0.7290808727836688
199,75,-2.888402786211649
593,454,-6.530190643619642
263,371,4.897970512462456
470,104,1.0418984679402559
324,430,-2.773712534080679
473,261,2.128231605687373
210,412,0.6929190855075353
126,70,260.7396463429898
121,277,5.504838821594891
423,406,1.9515545536261556
582,312,-1.6714044991385497
555,144,-8.273526969052625
606,145,-12.029778293894564
9,89,-27.290825687497154
634,168,-972.5990400228519
477,303,-3.1135165388631183
261,471,3.088123824630801
262,4,-3.6726766323834914
233,149,2.093682573865736
448,86,17.90022765147344
468,25,-2.455927300455559
80,465,20.803109322837006
307,444,0.05570000156647286
245,124,0.141189116454452
605,217,2.820433818259172
67,377,1.2383214981657635
394,390,0.4391184552355011
307,114,7.646885106507295
389,100,-3.74986059131969
314,32,1.8716823859983716
322,457,3.393562246515722
405,462,-1.6594386429153822
73,102,1.4427764616043324
229,374,2.1630719020321716
54,294,6.112989680451231
451,149,-6.598965052833887
355,247,8.257589482675145
200,253,15.533341219329033
570,280,5.242082880127178
382,144,-123.00764860226833
6,230,-40.960370881200824
53,319,-7.270504503291459
113,285,0.2076051593244437
126,17,13.310172525413266
115,439,247.60356271176929
199,2,2.5265592761138884
225,269,-0.9957426512515494
414,80,2.005749977123518
119,469,6.044630872390788
64,60,23.223159191133558
44,161,4.864038617338207
623,198,-1.2117728352645645
113,78,1.9872105387827572
545,182,-0.5554999326541066
221,63,-0.7537903085371663
362,416,20.917075046821804
513,357,-10.9564640636224
346,322,8.30659891263856
